"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Veces que se compartió",Reproducciones,"Me gusta",Comentarios,"Veces que se guardó",Seguimientos
17870783778119448,17841400066779739,gustavovelezr,"Gustavo Vélez","Hemos dado un gran paso para nuestra comunidad.✅ 

Con la aprobación de nuestro presupuesto para el Plan de Desarrollo, estamos listos para comenzar a construir un futuro mejor para Tuluá. ¡Es momento de trabajar juntos y hacer realidad nuestras metas! #ParaSerFelices 💙✅",41,"07/20/2024 12:07",https://www.instagram.com/reel/C9qDLfvujO8/,"Reel de Instagram",,Total,1406,1294,1,2169,78,6,3,
18018657518161140,17841400066779739,gustavovelezr,"Gustavo Vélez","Este ha sido un año complicado, pero con el trabajo constante y el apoyo de nuestra comunidad, hoy estamos saldando deudas y mejorando cada día. 

Seguimos adelante juntos hacia un futuro mejor, en una Tuluá #ParaSerFelices. 🌟",56,"07/23/2024 07:07",https://www.instagram.com/reel/C9xLM7_oLSM/,"Reel de Instagram",,Total,2687,2199,2,4156,98,19,1,
17844117354274897,17841400066779739,gustavovelezr,"Gustavo Vélez","¡Trabajo en Colaboración por Tuluá! 💙🤝🏻

El apoyo del Gobierno Departamental y Nacional ha sido fundamental para nuestras iniciativas. Hoy agradezco y destaco este respaldo, que nos permite seguir avanzando con proyectos e iniciativas que benefician a toda la comunidad tulueña #ParaSerFelices 🫂✅",49,"07/29/2024 14:07",https://www.instagram.com/reel/C-BbKXFv8Sm/,"Reel de Instagram",,Total,950,903,0,1594,61,7,0,
18344219803185598,17841400066779739,gustavovelezr,"Gustavo Vélez","Estamos avanzando con la viabilización de nuevos proyectos y la expansión de los Equipos Básicos en Salud que beneficiarán a 32,000 familias en nuestro municipio. 🏥👩‍⚕️👨‍⚕️ Con un equipo comprometido y servicios de calidad, le estamos cumpliendo a Tuluá #ParaSerFelices 💪✨",51,"07/30/2024 14:07",https://www.instagram.com/reel/C-D8kWIMhf9/,"Reel de Instagram",,Total,803,782,1,1320,39,4,0,
18007385921547648,17841400066779739,gustavovelezr,"Gustavo Vélez","En Tuluá, estamos tejiendo un nuevo futuro.💙 Sabemos que el camino es largo y difícil, pero cada paso es un avance hacia la verdadera transformación que merecemos #ParaSerFelices 💪🏼",40,"07/04/2024 09:07",https://www.instagram.com/reel/C9AeMFYic5H/,"Reel de Instagram",,Total,3496,2792,6,5192,170,19,1,1
17882701923083514,17841400066779739,gustavovelezr,"Gustavo Vélez","¡TRABAJAMOS CON EFICIENCIA POR NUESTRAS COMUNIDADES RURALES!✅

Hoy estamos dando un paso al frente para apoyar al sector rural afectado por la ola invernal. Junto a nuestra comunidad rural, construimos un camino más seguro con eficiencia en la construcción de placa huellas hacia el sector de La Moralia y Naranjal, hoy nuestra ciudadanía con gratitud, se une y se fortalece #ParaSerFelices 💙💪🏼",33,"07/09/2024 07:07",https://www.instagram.com/reel/C9NG3fGhHuD/,"Reel de Instagram",,Total,1246,1138,1,1902,80,27,0,
