"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo","Clics en el enlace","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Impresiones del anuncio","CPM del anuncio (USD)"
1123553763145288,100064720237286,"Alcaldía de Tuluá","¡Rendición de Cuentas 2024! 📈📊✅

Una jornada de transparencia, logros y compromiso con Tuluá.
El ingeniero Gustavo Adolfo Vélez Román (@gustavovelezr) comparte con la ciudadanía los avances de su gestión al frente de la Alcaldía Municipal en la vigencia 2024.

#ParaSerFelices 💙✌🏽",,0,"04/25/2025 08:44",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0VZt6NMdCwbbUELwqY5i4czRr9bcmQzuS1zeBYhdWTFxcRWZQeH9LeVJGVvMBVJs1l,0,0,Fotos,,,,,Total,12708,6734,389,311,33,45,1111,645,465,1,,,,,
1122980416535956,100064720237286,"Alcaldía de Tuluá","¡Invitación Especial al Día del Niño!👾🛝🎯Prepárate para un día lleno de juegos, risas y sorpresas en el Parque de la Guadua en Tuluá.🗓️ Este sábado 26 de abril, desde las 10:00 a.m. hasta las 5:00 p.m., ven con tu familia y celebra con nosotros.¡Habrá actividades, regalos, diversión y mucha alegría para los más pequeños! ⚽️👦¡Te esperamos con los brazos abiertos! 🤗 #ParaSerFelices","¡Invitación Especial al Día del Niño!👾🛝🎯Prepárate para un día lleno de juegos, risas y sorpresas en el Parque de la Guadua en Tuluá.🗓️ Este sábado 26 de abril, desde las 10:00 a.m. hasta las 5:00 p.m., ven con tu familia y celebra con nosotros.¡Habrá actividades, regalos, diversión y mucha alegría para los más pequeños! ⚽️👦¡Te esperamos con los brazos abiertos! 🤗 #ParaSerFelices",47,"04/24/2025 16:10",N/A,https://www.facebook.com/reel/1361104951698929/,0,0,Reels,,,,,Total,4255,3279,156,114,6,36,120,,120,,33017.039,8.442,0,0,
1122748156559182,100064720237286,"Alcaldía de Tuluá","🎉 ¡Prepárate para un día inolvidable! 🪅

Estas son las recomendaciones que debes tener en cuenta para disfrutar al máximo este sábado, 26 de abril, en el #CarnavaldelJuego 🎭✨ 
👉 Desliza y descubre todo lo que necesitas para vivir un día lleno de magia, alegría y diversión en el 📍 Parque de la Guadua. 🌈🎈

¡Porque estaremos listos #ParaSerFelices! 💃🕺💫",,0,"04/24/2025 08:52",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0m9V9hEJUGkn1ThHLZur2x42hMC5H5dRWFrGXXaRZecdyKjZ9GcSyBeaufue3GDTcl,0,0,Fotos,,,,,Total,3317,2115,64,43,0,21,102,80,22,,,,,,
1122164819950849,100064720237286,"Alcaldía de Tuluá","¡La niñez se celebra jugando! 🎈👧🧒

Este 26 de abril vive el Carnaval del Juego 2025 en el Parque de la Guadua 🎊
Diversión, juegos y muchas sonrisas te esperan desde las 10:00 a.m. 🕙
¡No faltes! #ParaSerFelices 

#CarnavalDelJuego2025 #NiñezFeliz 🎠🎊💪🏼",,0,"04/23/2025 16:19",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02hH4LZXRT3GALeX9Eqhb4bhvXQcfP7586t2Jph8gfRQzKBGcYTiiB9D6bK2BkksAYl,0,0,Fotos,,,,,Total,6844,4434,106,74,0,32,267,200,67,,,,,,
1121981489969182,100064720237286,"Alcaldía de Tuluá","#Educación | Alcaldía realiza primer simulacro de Pruebas Saber 11 en Instituciones Educativas.

Durante la jornada, el secretario realizó un recorrido por varias sedes educativas, donde pudo dialogar con estudiantes, docentes, directivos y padres de familia, escuchando sus necesidades y reafirmando el compromiso de la Administración Municipal con la formación integral de los jóvenes tulueños.

Lee la noticia completa: ⬇⬇⬇
",,0,"04/23/2025 10:37",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02FhDixeCVSayaDzp9y9vWPVehvDo9aHLTro2wM2GkzdRUVdjGVCv4YfyVoBxb97bVl,0,0,Enlaces,,,,,Total,4154,2594,68,54,2,12,29,,4,25,,,,,
1121969696637028,100064720237286,"Alcaldía de Tuluá","¿Sabes qué es una Rendición de Cuentas? 🤔
¿Sabías que tú puedes participar y hacer parte del control ciudadano?
🔍
Este viernes no te pierdas nuestro Informe de Gestión 2024
Ingresa a nuestro portal web y podrás: 
📊 Ver el informe
✍️ Inscribir tus propuestas

📲 Conéctate este 25 de abril a las 9:00 a.m. por Facebook Live 🔴🔵
¡La participación ciudadana también es #ParaSerFelices! ✅💙","¿Sabes qué es una Rendición de Cuentas? 🤔
¿Sabías que tú puedes participar y hacer parte del control ciudadano?
🔍
Este viernes no te pierdas nuestro Informe de Gestión 2024
Ingresa a nuestro portal web y podrás: 
📊 Ver el informe
✍️ Inscribir tus propuestas

📲 Conéctate este 25 de abril a las 9:00 a.m. por Facebook Live 🔴🔵
¡La participación ciudadana también es #ParaSerFelices! ✅💙",53,"04/23/2025 10:22",N/A,https://www.facebook.com/reel/1013481370874202/,1,0,Reels,,,,,Total,1582,838,56,43,0,13,5,,5,,7067.715,4.73,0,0,
1121836489983682,100064720237286,"Alcaldía de Tuluá","📚✨ ¡Nos preparamos para las Pruebas Saber 11! 🚀

Con la Secretaría de Educación hicimos un recorrido por nuestras instituciones educativas 🏫, donde realizamos el primer simulacro de las Pruebas Saber 11 📝. 💪 Estamos comprometidos con mejorar la calidad educativa y preparar a nuestros estudiantes para que alcancen los mejores puntajes 🎓🏆 🇨🇴🎯 Educación #ParaSerFelices ✌🏼💙","📚✨ ¡Nos preparamos para las Pruebas Saber 11! 🚀

Con la Secretaría de Educación hicimos un recorrido por nuestras instituciones educativas 🏫, donde realizamos el primer simulacro de las Pruebas Saber 11 📝. 💪 Estamos comprometidos con mejorar la calidad educativa y preparar a nuestros estudiantes para que alcancen los mejores puntajes 🎓🏆 🇨🇴🎯 Educación #ParaSerFelices ✌🏼💙",52,"04/23/2025 06:46",uploaded,https://www.facebook.com/reel/1686056388668575/,1,0,Reels,,,,,Total,6284,2332,555,371,14,170,104,,104,,47585.845,8.304,0,0,
1121356133365051,100064720237286,"Alcaldía de Tuluá","¡Seguimos con la Inspección y verificación en Tuluá! 🕵️‍♂️🏘️
🏘️ En esta ocasión, con la Secretaría de Gobierno y nuestros Gestores de Convivencia, estamos realizando inspecciones a establecimientos residenciales para garantizar que cumplan con toda la 📄 documentación y la 📚 reglamentación vigente.

✅ ¡Trabajamos por un municipio ordenado y en regla! 📍Recuerda: las leyes son para todos. 💪⚖️","¡Seguimos con la Inspección y verificación en Tuluá! 🕵️‍♂️🏘️
🏘️ En esta ocasión, con la Secretaría de Gobierno y nuestros Gestores de Convivencia, estamos realizando inspecciones a establecimientos residenciales para garantizar que cumplan con toda la 📄 documentación y la 📚 reglamentación vigente.

✅ ¡Trabajamos por un municipio ordenado y en regla! 📍Recuerda: las leyes son para todos. 💪⚖️",26,"04/22/2025 16:46",uploaded,https://www.facebook.com/reel/1654739788491366/,1,0,Reels,,,,,Total,3057,1925,86,60,9,17,100,,100,,25850.239,9.606,0,0,
1121239473376717,100064720237286,"Alcaldía de Tuluá","🚨 ¡Atención, tulueños! 🚨 Conoce cómo están usando redes sociales para engañar con la modalidad de “falso servicio” 😱

👀 Infórmate y comparte esta publicación. Podrías evitar que alguien más caiga. 📞 Denuncia ahora al 165 – GAULA Policía Nacional",,0,"04/22/2025 12:39",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid026HeV2XrAtHJCwb2u1qS7Xdn67dEHjywFudGwNh15cK5dvxVraawEcn77jUCJ6BEl,0,0,Fotos,,,,,Total,2143,1464,42,27,1,14,20,14,6,,,,,,
1121236336710364,100064720237286,"Alcaldía de Tuluá","Invitación Especial 🔵✅ Te invitamos a que te conectes a nuestra Rendición Pública de Cuentas año 2024.

¡No te lo pierdas!💪🏼 ESTE VIERNES, 25 de abril de 2025. ✅💪🏼 Desde las 9:00 a. m. a través de nuestro Facebook Live. 🔴 #ParaSerFelices",,0,"04/22/2025 12:33",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02RbfZwuk8WCTxUYz9tuvkCRP6QotR536ZGURaN6fhrs1YxAEvTZDifu5xttzC24Kwl,0,0,Fotos,,,,,Total,14288,7746,552,315,18,219,190,72,118,,,,,,
1121155013385163,100064720237286,"Alcaldía de Tuluá","🚨 ¡Atención emprendedores!
Si te inscribiste al Fondo Valle INN y recibiste un correo, ¡esto es para ti!

📩 Has sido invitado a una asesoría exclusiva para tu formalización empresarial.
✅ ¡Prográmate y no faltes! Conoce toda la información aquí 👇🏽
#FondoValleINN #EmprendeTuluá #Formalízate",,0,"04/22/2025 10:13",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0iuCU1SuLizuasRGiYdyDHYBLDE7FqYU2yjA1TEkFKoX1UcRozDcVeCWnpZZP6A8ul,0,0,Fotos,,,,,Total,2322,1537,35,23,2,10,69,52,17,,,,,,
1121149700052361,100064720237286,"Alcaldía de Tuluá","#Seguridad | Capturado integrante del Adán Izquierdo en Tuluá.

La aprehensión se llevó a cabo en la zona rural del corregimiento de Aguaclara, gracias a un trabajo coordinado de varios meses de seguimiento por parte del grupo especializado contra el terrorismo de la Seccional de Investigación Criminal (SIJIN), con apoyo del Grupo de Operaciones Especiales (GOES) y el Nuevo Modelo del Servicio de Policía.

Lee la noticia completa: ⬇⬇⬇
",,0,"04/22/2025 10:04",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0mHZt2E9nyEMAJkbwK3T1beBbn6b6MDi5NUz8jAJRzACKHDcZAsUQ91sCVJzi3Gy7l,0,0,Enlaces,,,,,Total,4787,3072,76,63,1,12,408,,29,379,,,,,
1121148850052446,100064720237286,"Alcaldía de Tuluá","#BienestarSocial | Secretaría de Bienestar Social y SENA certifican a 85 cuidadores en nivel avanzado.

La Administración del alcalde Gustavo Vélez, promueve estos espacios como parte de una ciudad más incluyente, humana y agradecida, que reconoce la vocación de servicio y el valor de quienes cuidan y transforman vidas desde el afecto y la responsabilidad.

Lee la noticia completa: ⬇⬇⬇
",,0,"04/22/2025 10:03",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0aovU6aomXJvaLhtnmhRcy7W3wSnG6rL3Zi2uyr2rYPNvTgHhk25bGR1viQd1Hkvtl,0,0,Enlaces,,,,,Total,1305,914,34,25,0,9,10,,1,9,,,,,
1121057130061618,100064720237286,"Alcaldía de Tuluá","Alcaldía de Tuluá actualizó su estado.",,0,"04/22/2025 07:34",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0GS9AjyzHQNSgGK4ir28yHZGsZ8GyaLtkvquLvtLMb9dFsHrS1vy37hL6mvmDPewxl,0,0,Texto,,,,,Total,6,630,21,15,0,6,8,,8,,,,,,
1121036960063635,100064720237286,"Alcaldía de Tuluá","85 cuidadores certificados para transformar vidas 🎓💙

Gracias a un proceso liderado por la Secretaría de Bienestar Social en articulación con el SENA, 85 personas que han dedicado su vida al cuidado de adultos mayores y personas con discapacidad, hoy reciben su certificación en nivel avanzado. 👩‍⚕️👨‍⚕️

Con esto, seguimos construyendo una Tuluá más amable e incluyente, donde el trabajo y la vocación de servicio son reconocidos y valorados. 💙 #ParaSerFelices",,0,"04/22/2025 07:02",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid034QHaFFnzR7Dcp7TV4B8oM7TfEjjJSj8nTisujmotgXeuTvkFpHgmwALjWznxwuXWl,0,0,Fotos,,,,,Total,13456,7524,211,168,12,31,1438,1077,361,,,,,,
1120905893410075,100064720237286,"Alcaldía de Tuluá","#Memoria | Tuluá honró la memoria de líderes asesinados en 2024.

Durante el acto, miembros del Concejo Municipal también hicieron presencia para recordar el legado de sus compañeros, reconociendo su compromiso con una Tuluá más justa, inclusiva y en paz.

Lee la noticia completa:⬇️⬇️⬇️
",,0,"04/22/2025 03:20",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02vsLVeP6i1VauNCncMdEhBHcy7xBmNUtFy9z4RMrBsvtsQmbSo34QZeSxLnQ9WVMMl,0,0,Enlaces,,,,,Total,1223,858,42,36,0,6,4,,2,2,,,,,
1120904603410204,100064720237286,"Alcaldía de Tuluá","#Educación | Secretaría de Educación inicia convocatoria para veedurías ciudadanas del PAE.

El llamado busca garantizar que los recursos destinados a la alimentación escolar se manejen con transparencia, calidad y eficiencia, permitiendo que los niños, niñas y adolescentes del municipio reciban una atención adecuada durante su jornada escolar. 

Lee la noticia completa:⬇️⬇️⬇️
",,0,"04/22/2025 03:18",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0utsnCpoPUZcJs7bFQkTsYLBLiEzhya3MgKiHsVsALarexWfrTWyZLX4d7rjaSSU5l,0,0,Enlaces,,,,,Total,1902,1337,58,43,0,15,28,,9,19,,,,,
1120903443410320,100064720237286,"Alcaldía de Tuluá","#Cultura| Tuluá vivió el IX Festival de Danza Folclórica Religiosa.

Más que una muestra artística, el festival se consolidó como un espacio de encuentro intercultural que fortalece el tejido social y reafirma el compromiso de Tuluá con la promoción del patrimonio inmaterial y la construcción de paz a través del arte.

",,0,"04/22/2025 03:15",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0epsHcsf3jZjF5Xn93XserhuTSURF8rDohir6NGfzktB8GFkR2QZTfLfAZeEbigncl,0,0,Enlaces,,,,,Total,929,651,34,28,0,6,7,,,7,,,,,
1120902523410412,100064720237286,"Alcaldía de Tuluá","#Seguridad | Alcalde lideró Consejo Extraordinario de Seguridad para atender situación en zona rural de Tuluá

Durante la reunión, el mandatario expresó su profunda preocupación por las afectaciones a la vida y seguridad de los habitantes de esta zona, e hizo un enfático llamado a la Fuerza Pública para intensificar las acciones tanto preventivas como operativas.

Lee la noticia completa:: ⬇️⬇️⬇️
",,0,"04/22/2025 03:14",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02cuULFhHfXQosi4SgHA9SnGk8ufbfrkw4FiWSEVeysVyaxLZ2fy3LwzKJtxE8SWfxl,0,0,Enlaces,,,,,Total,6014,4017,141,105,14,22,212,,129,83,,,,,
1120388506795147,100064720237286,"Alcaldía de Tuluá","🕊️ Unidos por la memoria y la dignidad de los que ya no están

Hoy con todo el Gabinete Municipal y Concejo Municipal Tuluá, acompañamos la conmemoración del primer año de fallecimiento de Carlos Arturo Londoño, Clarivet Ocampo y Eliecid Ávila Ávila. 

🌹Un acto impulsado por sus familias, el municipio y la Fundación en Memoria a los 11 Diputados, para honrar su vida, su legado y reafirmar nuestro compromiso con la paz, la verdad y la democracia.",,0,"04/21/2025 10:03",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0s8ZCFJrEdYLwH9zUHuMUEfUKtz2vFBNX9H9y1XyMwbb4WDK9Jtb1Qx1eT7j9MmEal,0,0,Fotos,,,,,Total,3258,1972,52,42,0,10,218,147,71,,,,,,
1120306183470046,100064720237286,"Alcaldía de Tuluá","Alcaldía de Tuluá actualizó su estado.",,0,"04/21/2025 07:49",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0389HbsxTB67tzmSZ8TEkfBT18TPETcKfzTJHwSown43L4zEH4jb73J1c5qLHhaya2l,0,0,Texto,,,,,Total,4,918,30,21,0,9,43,,43,,,,,,
1116487783851886,100064720237286,"Alcaldía de Tuluá","#Movilidad | Continúa socialización vial en carrera 30.

Desde puntos estratégicos como la intersección de la carrera 30 con la carrera 25 y la carrera 29A, los equipos del Departamento Administrativo de Movilidad y Seguridad Vial y la Secretaría de Hábitat e Infraestructura continúan adelantando jornadas informativas, entregando volantes y dialogando con la comunidad.

Lee la noticia completa: ⬇⬇⬇
",,0,"04/16/2025 13:48",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02aReEY1wahcnbWLm1mmCHZbS6royAo4AUowiyiTnwFmeggnNoq4PnbvstCEe3Andol,0,0,Enlaces,,,,,Total,4009,2418,57,41,4,12,126,,33,93,,,,,
1116468097187188,100064720237286,"Alcaldía de Tuluá","🎉 ¡Conoce el Consejo Municipal de Juventudes! 🗣️💚

Si tienes entre 14 y 28 años, esta info es para ti 👀👇
El CMJ es un espacio de participación ciudadana donde los jóvenes pueden alzar la voz, proponer ideas 💡 y trabajar por el futuro de Tuluá 🙌🏼. Muy  pronto te contaremos más ✅","🎉 ¡Conoce el Consejo Municipal de Juventudes! 🗣️💚

Si tienes entre 14 y 28 años, esta info es para ti 👀👇
El CMJ es un espacio de participación ciudadana donde los jóvenes pueden alzar la voz, proponer ideas 💡 y trabajar por el futuro de Tuluá 🙌🏼. Muy  pronto te contaremos más ✅",30,"04/16/2025 13:04",N/A,https://www.facebook.com/reel/598900503191832/,1,0,Reels,,,,,Total,2164,1394,54,39,3,12,25,,25,,10238.712,5.218,0,0,
1116456020521729,100064720237286,"Alcaldía de Tuluá","#Salud | Certificados de discapacidad para más de 70 personas en Tuluá.

Estas jornadas continuarán los días 24 y 30 de abril, así como durante el mes de mayo, permitiendo que más tulueños puedan acceder a su certificado. Los interesados deben acercarse a la Secretaría de Salud, donde se les brindará orientación y el formato correspondiente para ser diligenciado por su médico tratante. Posteriormente, al entregar la documentación completa, serán contactados para agendar la cita de certificación.

Lee la noticia completa: ⬇⬇⬇
",,0,"04/16/2025 12:39",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0bdyWXktc16XKsEytnEAS88ok7NRu4FePid9LmsuZL96j8baMcrUzaeh6fKgHkqUQl,0,0,Enlaces,,,,,Total,2144,1374,39,25,4,10,35,,14,21,,,,,
1116455523855112,100064720237286,"Alcaldía de Tuluá","#Salud | Secretaría de Salud supervisa nuevo punto de dispensación de medicamentos en Tuluá.

Durante la jornada, se verificaron aspectos clave del proceso de dispensación, como la metodología de entrega, fechas de vencimiento, condiciones de almacenamiento, estado de los empaques y el adecuado manejo de los medicamentos por parte del personal. Esta labor busca brindar tranquilidad a los usuarios y garantizar la calidad y seguridad en la prestación del servicio farmacéutico.

Lee la noticia completa: ⬇⬇⬇
",,0,"04/16/2025 12:38",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02BVgWjvnB1taubRyDRBFAfshiE8cCW3L47zMwMS5d9UUvcXiJDTttxANbNT6Rj2DWl,0,0,Enlaces,,,,,Total,3304,2181,64,45,8,11,100,,53,47,,,,,
